Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Martin Rucinsky,ALB,F,26,5,4,4,3,2,3,1,7,10,3,4,5,4,1
Sheldon Kennedy,ALB,F,23,4,3,5,2,2,2,1,8,7,3,2,3,2,1
Alexandre Daigle,ALB,F,91,5,4,5,3,1,4,2,3,10,3,4,4,4,1
Radek Bonk,ALB,F,76,9,2,2,3,2,4,2,5,10,3,4,2,3,2
Glen Murray,ALB,F,27,0,2,3,3,2,3,2,2,7,3,3,3,3,3
Mike Sillinger,ALB,F,26,7,3,3,3,2,2,2,6,7,2,4,5,3,1
Mattias Norstrom,ALB,D,11,8,3,3,2,3,3,4,7,7,2,5,3,3,4
Sean Hill,ALB,D,4,8,3,3,3,2,2,3,4,4,2,3,4,3,2
Jason Allison,ALB,D,41,8,3,3,3,1,3,2,2,7,3,5,3,3,1
Mike Rathje,ALB,D,40,8,3,2,2,2,2,3,5,4,2,4,3,3,2
Valeri Kamensky,ANA,F,13,8,5,5,4,2,5,2,6,10,4,6,3,5,1
Tomas Sandstrom,ANA,F,17,9,4,4,5,3,5,2,7,7,4,6,1,4,4
Benoit Hogue,ANA,F,33,7,4,5,4,3,3,1,5,10,4,6,5,4,1
John Maclean,ANA,F,15,9,3,3,5,4,5,3,4,7,3,6,2,3,3
Rick Tocchet,ANA,F,22,9,3,3,5,3,4,4,8,7,4,5,2,4,6
Jason Dawe,ANA,F,43,8,4,5,3,2,3,2,3,7,4,5,3,3,1
Phil Housley,ANA,D,6,6,5,4,5,2,3,1,7,10,3,6,5,5,1
Dave Manson,ANA,D,4,9,3,4,3,3,5,5,5,4,2,6,4,3,11
Fredrik Olausson,ANA,D,11,9,5,4,4,2,4,1,6,10,2,3,5,4,1
Boris Mironov,ANA,D,2,7,5,4,3,1,2,1,4,7,2,5,5,3,3
Theoren Fleury,AUT,F,14,3,5,5,4,4,4,4,4,10,4,5,3,4,5
Brendan Shanahan,AUT,F,94,10,3,3,6,4,5,5,4,7,5,4,2,4,6
Geoff Sanderson,AUT,F,8,6,5,5,4,2,4,2,3,7,5,4,2,3,2
Rob Neidermayer,AUT,F,44,9,4,5,3,2,4,3,5,7,3,4,2,3,4
Paul Ranheim,AUT,F,28,8,4,5,3,2,2,1,4,7,2,3,1,3,1
Marcus Ragnarsson,AUT,F,33,10,4,4,4,2,2,2,5,10,2,3,5,4,2
Brian Leetch,AUT,D,2,6,6,5,6,5,3,4,3,13,3,6,4,5,1
Kyle McLaren,AUT,D,46,9,3,3,2,4,4,3,5,7,2,3,2,3,2
Keith Carney,AUT,D,4,9,2,3,3,3,2,2,5,7,2,3,4,3,1
