Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Patrick Lalime,AHC,G,40,5,4,5,3,4,4,0,0,0,0,3,4,3,3
Jamie Storr,AHC,G,1,7,4,3,3,4,3,0,1,0,0,3,3,3,3
Dominik Hasek,AUT,G,39,4,5,5,3,6,5,0,0,0,0,5,5,5,5
Mike Dunham,AUT,G,1,7,3,3,3,3,4,0,1,0,0,4,4,4,4
Jose Theodore,BAY,G,60,5,5,5,5,3,5,0,0,0,0,5,5,5,5
Stephane Fiset,BAY,G,35,8,4,4,3,3,4,0,1,0,0,2,3,2,3
Tom Barrasso,CDA,G,35,10,4,5,4,4,4,0,1,0,0,4,4,4,4
Marc Denis,CDA,G,30,6,5,5,3,4,4,0,1,0,0,3,4,3,4
Dan Cloutier,DIN,G,39,6,5,4,3,3,4,0,0,0,0,4,3,3,3
Garth Snow,DIN,G,35,7,4,4,3,3,5,0,0,0,0,3,4,3,4
Chris Osgood,HAM,G,30,4,5,5,3,4,5,0,0,0,0,4,4,4,4
Fred Brathwaite,HAM,G,40,5,4,4,3,3,4,0,0,0,0,3,4,3,3
Grant Fuhr,HIG,G,31,7,5,3,3,4,4,0,1,0,0,4,4,4,4
Brian Boucher,HIG,G,33,6,5,5,3,2,3,0,1,0,0,3,3,3,3
Ron Tugnutt,HOT,G,31,2,4,4,3,3,5,0,0,0,0,3,3,3,3
Jean-Sebastien Aubin,HOT,G,30,5,5,4,3,4,3,0,0,0,3,3,3,3,3
Olaf Kolzig,ING,G,37,11,4,5,3,4,4,0,0,0,0,4,4,4,4
Kirk McLean,ING,G,30,8,4,4,3,3,4,0,1,0,0,4,3,4,3
Sergei Varlamov,ITA,G,37,6,5,5,5,2,4,3,1,7,5,3,3,4,3
Jeff Hackett,ITA,G,31,5,4,4,3,3,4,0,0,0,0,3,3,3,3
Bob Essensa,MHA,G,30,5,4,4,3,4,4,0,1,0,0,4,3,4,4
Roman Turek,MHA,G,1,10,4,5,3,4,4,0,0,0,0,5,4,4,4
Steve Shields,MHT,G,31,9,4,4,3,3,4,0,0,0,0,3,4,4,3
Guy Hebert,MHT,G,31,6,4,3,4,4,3,0,0,0,0,4,5,4,4
Mike Vernon,MGG,G,29,5,4,4,3,4,4,0,0,0,0,3,3,3,3
Kevin Weekes,MGG,G,80,9,4,3,3,3,4,0,1,0,0,4,4,4,4
Martin Brodeur,NBK,G,30,8,4,5,4,6,6,0,0,0,0,5,5,5,5
Steve Passmore,NBK,G,29,4,4,4,3,2,3,0,1,0,0,4,4,3,3
Peter Skudra,OCW,G,1,5,4,4,3,3,4,0,1,0,0,4,4,4,4
Glenn Healy,OCW,G,30,5,3,3,3,3,3,0,1,0,0,3,4,3,3
Dwayne Roloson,PIT,G,30,5,3,4,3,3,4,0,0,0,0,3,3,3,3
Craig Billington,PIT,G,1,4,5,4,3,3,3,0,0,0,0,3,3,3,3
Arturs Irbe,PRO,G,1,5,5,5,3,4,3,0,1,0,0,3,3,3,3
Damian Rhodes,PRO,G,31,5,4,4,3,3,4,0,0,0,0,3,3,3,3
Trevor Kidd,REN,G,37,3,4,5,4,4,4,0,1,0,0,3,4,3,4
Manny Legace,REN,G,32,7,4,4,3,4,3,0,1,0,0,4,3,4,3
Nikolai Khabibulin,RIC,G,35,8,4,5,3,4,5,0,1,0,0,5,4,5,4
Byron Dafoe,RIC,G,34,6,4,4,4,4,3,0,1,0,0,4,4,4,4
John Vanbiesbrouck,ROM,G,34,5,4,3,3,5,4,0,1,0,0,4,5,5,4
Manny Fernandez,ROM,G,30,5,5,5,3,3,4,0,1,0,0,3,4,3,4
Curtis Joseph,SAG,G,31,6,5,5,5,5,5,0,0,0,0,4,5,4,5
Corey Schwab,SAG,G,32,6,3,4,3,3,4,0,0,0,0,3,3,3,3
Tomas Vokoun,SDM,G,37,9,4,5,3,4,5,0,0,0,0,4,5,4,4
Dominic Roussel,SDM,G,30,6,2,4,3,3,3,0,1,0,0,4,2,4,3
Tommy Salo,SVB,G,35,4,5,5,3,3,5,0,1,0,0,3,3,3,3
Roberto Luongo,SVB,G,1,4,4,4,2,3,6,0,1,0,0,3,5,5,4
Mike Richter,SOV,G,35,7,5,5,5,5,4,0,0,0,0,4,5,4,5
Jamie McLennan,SOV,G,29,7,4,4,3,3,4,0,1,0,0,3,3,3,3
Jean-Sebastien Giguere,SVF,G,47,5,5,6,3,3,3,0,1,0,0,4,5,4,5
Mark Fitzpatrick,SVF,G,30,6,3,4,3,3,4,0,0,0,0,4,4,4,4
Chris Terreri,SUM,G,31,2,3,4,3,3,4,0,0,0,0,3,3,3,3
Martin Biron,SUM,G,43,6,4,4,3,4,4,0,1,0,0,3,3,3,3
Ed Belfour,SUN,G,20,6,5,5,3,5,5,0,0,0,0,4,5,4,5
Kay Whitmore,SUN,G,35,5,3,3,4,5,4,0,0,0,0,3,2,3,2
Patrick Roy,TAI,G,33,6,5,4,4,4,5,0,0,0,0,5,5,5,5
Daren Puppa,TAI,G,93,9,3,3,3,2,4,0,1,0,0,3,3,3,3
Sean Burke,TBP,G,31,9,5,4,3,4,4,0,1,0,0,4,4,4,4
Marcel Cousineau,TBP,G,34,5,4,4,2,2,3,0,1,0,0,3,3,4,3
Ken Wregget,TIM,G,31,8,4,4,3,4,4,0,1,0,0,3,3,4,3
Evgeni Nabokov,TIM,G,20,7,4,3,2,4,5,0,1,0,0,6,5,5,6
Jocelyn Thibault,THT,G,41,5,4,5,3,4,4,0,1,0,0,4,5,5,4
Rick Tabaracci,THT,G,31,6,3,4,3,3,3,0,1,0,0,3,3,3,3
Felix Potvin,UGA,G,29,6,5,5,3,3,5,0,0,0,0,5,5,4,4
Corey Hirsch,UGA,G,31,2,4,4,3,4,4,0,0,0,0,4,4,4,4
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
