Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Arturs Irbe,ANA,G,32,5,4,4,4,4,3,0,0,0,0,4,4,4,4
Fred Brathwaite,ANA,G,31,5,2,2,2,2,2,0,0,0,0,2,1,2,2
Tim Cheveldae,AUT,G,29,6,3,4,4,4,3,0,0,0,0,3,3,3,3
Kay Whitmore,AUT,G,35,5,3,3,4,5,2,0,0,0,0,2,3,2,3
Tom Barrasso,BGM,G,35,10,4,4,5,5,4,0,1,0,0,4,3,4,4
Ron Tugnutt,BGM,G,1,2,2,3,2,3,1,0,0,0,0,1,1,2,2
Sean Burke,BRT,G,1,10,4,3,2,2,3,0,0,0,0,3,3,4,4
Damian Rhodes,BRT,G,1,5,2,3,2,2,3,0,0,0,0,3,3,2,2
Daren Puppa,CAL,G,93,9,4,4,4,5,3,0,1,0,0,3,3,4,4
Darcy Wakaluk,CAL,G,34,6,3,3,3,3,4,0,0,0,0,3,3,4,4
Patrick Roy,DIN,G,33,6,6,4,3,5,5,0,0,0,0,5,6,6,6
Jamie McLennan,DIN,G,29,7,3,3,2,2,2,0,0,0,0,2,2,2,2
Kirk McLean,HFX,G,1,6,4,4,4,4,4,0,0,0,0,4,4,4,4
Mark LaForest,HFX,G,35,8,2,2,1,2,1,0,0,0,0,1,1,1,1
Felix Potvin,HFD,G,29,6,4,4,6,6,4,0,0,0,0,5,4,5,4
Craig Billington,HFD,G,1,4,3,4,2,2,1,0,0,0,0,2,2,2,2
Mike Richter,HIG,G,35,7,5,4,3,4,4,0,0,0,0,5,5,5,5
Tommy Soderstrom,HIG,G,30,3,3,3,3,4,2,0,0,0,0,2,3,2,3
Martin Brodeur,KOL,G,30,7,5,3,3,4,4,0,0,0,0,5,5,5,5
Jeff Hackett,KOL,G,31,5,2,3,1,1,2,0,0,0,0,2,2,2,2
Chris Terreri,MAX,G,31,2,4,4,4,4,3,0,0,0,0,4,4,3,3
Mark Fitzpatrik,MAX,G,30,7,3,4,2,2,3,0,0,0,0,3,4,3,4
Mike Vernon,MOO,G,30,4,3,4,4,4,4,0,0,0,0,4,4,4,4
Robb Stauber,MOO,G,35,6,2,3,4,4,3,0,0,0,0,2,2,2,2
Guy Hebert,MUL,G,31,6,4,3,3,3,2,0,0,0,0,3,3,3,3
Kelly Hrudey,MUL,G,32,6,3,3,3,4,3,0,0,0,0,2,2,2,3
Chris Osgood,NYE,G,30,3,4,3,3,4,3,0,0,0,0,3,3,3,3
Bob Essensa,NYE,G,35,3,3,4,4,3,3,0,0,0,0,3,3,3,3
Dominik Hasek,ORL,G,39,4,5,3,5,5,4,0,0,0,0,5,6,5,6
Trevor Kidd,ORL,G,37,3,3,3,2,2,2,0,0,0,0,3,3,2,2
Curtis Joseph,PEN,G,31,6,5,4,5,6,4,0,0,0,0,4,4,4,4
Glenn Healy,PEN,G,30,5,3,4,4,3,3,0,0,0,0,3,3,2,2
Ed Belfour,REN,G,30,6,6,4,6,6,5,0,0,0,0,6,6,5,5
Dominic Roussel,REN,G,33,6,3,3,3,3,3,0,0,0,0,3,3,2,2
Jon Casey,RIC,G,30,2,4,3,3,4,3,0,0,0,0,4,3,4,3
Rick Tabaracci,RIC,G,31,6,3,3,1,1,2,0,0,0,0,3,3,3,2
Bill Ranford,SV,G,30,4,5,3,4,3,5,0,0,0,0,4,4,5,5
Stephane Fiset,SV,G,35,5,3,3,3,3,2,0,0,0,0,3,2,2,2
Ron Hextall,SUM,G,72,7,3,4,4,4,3,0,0,0,0,2,2,3,3
Andy Moog,SUM,G,35,4,3,3,1,2,3,0,0,0,0,3,2,3,3
John Vanbiesbrk,SUN,G,34,5,4,3,4,5,3,0,0,0,0,4,4,5,5
Don Beaupre,SUN,G,33,4,3,4,3,3,3,0,0,0,0,4,3,4,3
Grant Fuhr,TC,G,31,7,5,4,5,5,5,0,1,0,0,3,4,5,5
Jeff Reese,TC,G,35,4,2,3,3,2,2,0,0,0,0,2,2,2,2
Jocelyn Thibault,TH,G,41,5,3,3,2,2,2,0,0,0,0,2,2,2,2
Ken Wregget,TH,G,31,8,2,3,3,3,2,0,0,0,0,3,2,3,2
Wendell Young,PIT,G,1,6,3,3,2,2,3,0,0,0,0,2,2,2,2
Mikhail Shtalenkov,PIT,G,35,6,2,2,2,2,3,0,0,0,0,2,2,2,2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
