,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Fredrik Modin,AUT,F,19,7,4,4,3,3,2,2,1,7,2,3,3,3,3
Brendan Shanahan,AUT,F,14,10,4,4,6,4,6,6,0,12,5,5,4,4,6
Geoff Sanderson,AUT,F,8,6,5,5,5,3,4,2,1,10,5,5,4,5,2
Rob Niedermayer,AUT,F,44,9,4,5,4,2,4,3,1,7,3,4,4,5,4
Paul Ranheim,AUT,F,28,8,4,5,3,2,2,1,0,7,2,3,1,3,1
Marcus Ragnarsson,AUT,F,10,10,4,4,4,2,2,2,1,10,2,3,5,4,2
Brian Leetch,AUT,D,2,6,6,5,4,6,3,4,1,12,4,6,4,6,1
Chris Chelios,AUT,D,7,7,4,4,5,6,5,6,0,10,4,7,4,4,5
Richard Matvichuk,AUT,D,24,7,3,3,3,2,2,2,1,7,2,3,4,3,2
Lyle Odelein,AUT,D,26,9,3,2,2,4,3,4,0,5,2,3,2,2,5
Mark Messier,BRT,F,11,9,5,6,6,3,4,3,1,12,5,5,5,5,6
Mats Sundin,BRT,F,13,8,5,5,6,4,4,1,0,12,5,5,5,5,1
Dainius Zubrus,BRT,F,9,6,4,4,4,3,4,2,1,10,4,6,4,4,2
Chris Gratton,BRT,F,77,9,2,3,4,3,4,4,1,7,2,3,4,4,5
Michael Peca,BRT,F,19,5,3,3,4,4,3,2,0,7,3,3,3,3,1
Ryan Smyth,BRT,F,94,7,3,4,4,3,2,4,1,5,2,3,4,4,2
Scott Stevens,BRT,D,4,11,3,4,4,6,4,5,1,7,3,5,4,4,6
Scott Niedermayer,BRT,D,27,9,5,5,4,5,3,2,1,10,3,5,5,4,2
Aaron Ward,BRT,D,33,4,3,3,3,3,3,4,1,7,3,3,3,3,2
Jason Woolley,BRT,D,22,6,3,3,3,2,3,2,1,7,2,3,4,3,1
Michael Nylander,CDA,F,92,5,4,4,4,2,3,1,1,10,2,3,5,5,1
Brian Holzinger,CDA,F,19,6,5,5,4,3,3,3,0,7,4,4,3,4,3
Darcy Tucker,CDA,F,42,6,4,4,3,3,3,3,1,7,3,3,3,3,6
Benoit Hogue,CDA,F,33,7,4,5,4,3,3,1,1,10,4,5,5,4,1
Jere Lehtinen,CDA,F,26,6,4,3,4,3,2,2,0,10,2,4,4,4,1
Patrick Poulin,CDA,F,28,10,5,5,2,2,4,3,1,7,2,3,2,3,1
Nicklas Lidstrom,CDA,D,5,5,5,4,4,4,5,2,1,7,5,4,5,4,1
Darryl Sydor,CDA,D,6,9,4,3,3,3,3,3,1,9,2,2,4,4,1
Dave Manson,CDA,D,37,9,3,4,3,3,5,5,1,5,2,4,4,3,5
Lance Pitlick,CDA,D,2,8,3,4,2,3,3,3,0,7,2,2,4,3,1
Jason Arnott,CHA,F,7,8,4,4,5,3,4,3,0,10,4,5,4,4,3
Tomas Sandstrom,CHA,F,28,9,4,4,5,3,6,2,1,7,4,4,1,4,4
Claude Lemieux,CHA,F,11,11,3,4,4,4,4,4,0,7,4,4,3,3,4
Jeff Shantz,CHA,F,12,7,3,4,3,4,2,3,0,7,2,3,5,3,3
Rod Brind'Amour,CHA,F,17,9,5,5,6,4,4,3,1,15,5,6,5,5,3
Igor Korolev,CHA,F,23,7,4,4,4,3,3,1,1,10,3,4,5,4,1
Teppo Numminen,CHA,D,27,7,5,3,4,4,3,3,0,7,2,4,5,4,1
Mikael Andersson,CHA,D,34,6,4,5,2,3,2,2,1,7,2,4,2,3,1
Bryan Berard,CHA,D,4,5,4,4,4,4,4,4,1,7,4,4,4,4,4
Eric Weinrich,CHA,D,2,10,3,4,3,3,3,3,1,7,2,4,3,3,1
Robert Kron,CHC,F,18,5,5,5,3,2,3,2,1,7,2,3,2,3,1
Pierre Turgeon,CHC,F,77,9,5,4,5,3,4,0,1,12,5,4,5,5,1
Jeremy Roenick,CHC,F,97,4,5,5,5,4,5,5,0,10,4,6,4,5,5
Wayne Gretzky,CHC,F,99,4,6,4,6,4,4,1,1,15,4,6,6,6,1
Niklas Sundstrom,CHC,F,24,5,3,3,3,4,2,2,1,7,3,3,5,4,1
Michal Pivonka,CHC,F,20,8,4,4,4,4,3,1,1,10,3,5,5,5,1
Gord Murphy,CHC,D,5,8,5,4,3,3,4,1,0,7,2,3,4,4,1
Adrian Aucoin,CHC,D,6,7,3,3,3,2,2,2,0,7,2,3,4,3,1
Marty McSorley,CHC,D,33,12,2,2,3,3,4,4,0,8,3,6,3,4,6
David Cooper,CHC,D,42,5,4,4,3,3,3,4,1,7,3,3,3,3,4
Mark Recchi,GRH,F,8,6,5,3,5,3,4,2,1,10,4,5,4,5,2
Dallas Drake,GRH,F,11,4,5,5,4,3,3,2,1,7,3,4,4,3,2
Sami Kapanen,GRH,F,24,4,4,4,3,3,3,3,1,7,3,3,3,3,3
Radek Dvorak,GRH,F,19,6,5,4,4,3,3,2,0,7,4,4,4,4,1
Donald Audette,GRH,F,28,5,4,4,4,3,4,2,0,7,4,4,3,3,2
Jay Pandolfo,GRH,F,20,4,4,3,3,4,4,4,1,8,3,3,2,2,2
James Patrick,GRH,D,3,9,4,3,3,3,3,2,0,7,2,3,5,4,1
Jiri Slegr,GRH,D,28,9,4,4,3,3,3,2,1,7,1,4,4,3,2
Adam Foote,GRH,D,52,8,4,3,4,4,2,3,0,7,1,3,4,3,6
Luke Richardson,GRH,D,22,11,3,3,1,3,2,4,1,5,1,4,3,2,4
Tony Amonte,HAM,F,10,6,4,5,6,3,4,1,1,10,5,5,5,5,1
Mariusz Czerkawski,HAM,F,21,7,3,4,4,1,2,0,1,10,3,4,3,4,1
Darren Turcotte,HAM,F,8,6,4,5,4,4,5,1,1,10,3,5,2,3,1
Rick Tocchet,HAM,F,22,9,3,3,4,3,4,4,0,7,4,3,2,4,4
Alexei Kovalev,HAM,F,27,7,6,5,4,2,5,3,1,15,3,5,3,5,1
Anson Carter,HAM,F,11,6,4,4,2,4,3,4,0,7,3,5,3,4,4
Steve Duchesne,HAM,D,28,8,4,4,5,2,4,1,1,7,3,4,4,4,1
Rhett Warrener,HAM,D,7,4,4,4,3,3,3,3,0,10,4,4,3,2,4
Ulf Samuelsson,HAM,D,5,8,4,4,2,5,2,4,0,7,1,5,4,3,2
Jason Smith,HAM,D,25,7,3,3,1,4,2,4,0,7,2,2,3,3,4
Igor Larionov,HEL,F,8,4,4,4,5,3,3,1,1,10,3,4,5,6,1
Valeri Kamensky,HEL,F,13,8,5,5,4,2,5,3,0,12,5,4,4,5,1
Vyacheslav Kozlov,HEL,F,27,5,5,4,4,3,4,1,1,10,4,4,3,5,1
Trent Klatt,HEL,F,20,9,3,3,5,3,4,2,0,7,4,3,4,4,4
Mike Knuble,HEL,F,22,6,3,3,3,3,3,4,0,7,3,3,3,3,4
Jim Campbell,HEL,F,10,6,4,3,4,3,4,2,0,10,4,4,4,4,2
Jeff Norton,HEL,D,6,6,5,4,4,3,2,2,1,10,2,5,5,4,1
Sylvain Cote,HEL,D,3,6,4,3,3,4,4,3,0,7,2,4,5,3,3
Dmitri Mironov,HEL,D,15,7,4,4,4,4,4,2,0,7,2,2,6,4,1
Janne Niinimaa,HEL,D,44,7,4,4,4,3,4,4,1,10,4,4,4,5,2
Petr Klima,HIG,F,85,7,5,4,4,1,4,1,0,10,4,5,2,4,1
Zigmund Palffy,HIG,F,72,4,4,4,5,3,4,1,1,10,4,5,4,5,1
Brett Hull,HIG,F,16,9,4,4,5,3,6,2,0,10,5,5,4,4,2
Keith Jones,HIG,F,11,7,3,3,4,4,3,5,1,7,3,4,1,3,5
Kris Draper,HIG,F,33,7,3,4,2,3,2,2,1,7,2,3,4,3,1
Theoren Fleury,HIG,F,14,2,5,5,4,4,4,4,0,12,5,4,4,4,5
Don Sweeney,HIG,D,32,4,4,4,3,5,3,4,1,7,2,4,4,4,2
