Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Patric Kjellberg,AHC,F,10,7,5,5,4,3,3,3,1,7,4,3,3,3,3
Craig Janney,AHC,F,11,7,5,4,5,2,2,2,1,12,4,3,2,4,3
Mike Ricci,AHC,F,18,6,4,4,4,3,3,4,1,9,4,4,4,3,4
Jeff O'Neill,AHC,F,92,5,5,5,4,3,4,3,0,7,4,4,3,3,4
Christian Matte,AHC,F,51,5,5,5,4,4,4,3,1,5,4,5,3,5,3
Bobby Holik,AHC,F,16,10,4,4,5,4,4,4,0,7,5,4,4,3,4
Steve Staios,AHC,D,25,6,4,4,3,3,2,3,0,8,3,3,4,3,4
Kevin Hatcher,AHC,D,4,11,3,4,5,4,4,4,0,7,4,4,4,4,4
Mattias Ohlund,AHC,D,2,8,5,4,3,4,4,4,1,7,4,4,4,4,4
Jaroslav Modry,AHC,D,5,8,3,4,3,2,3,2,0,9,4,3,3,2,1
Fredrik Modin,AUT,F,19,10,4,4,4,3,4,3,1,7,4,3,4,3,3
Tony Amonte,AUT,F,10,6,5,6,5,4,4,1,1,9,5,4,4,4,4
Anson Carter,AUT,F,33,4,4,5,5,3,3,3,0,7,4,4,4,3,3
Kris Draper,AUT,F,37,6,4,5,4,4,3,4,1,7,4,3,4,3,4
Olli Jokinen,AUT,F,12,8,4,5,4,3,3,3,1,7,4,3,4,3,4
Dean McAmmond,AUT,F,34,5,5,5,4,4,3,3,1,7,4,4,3,3,3
Sergei Gonchar,AUT,D,55,8,5,5,5,3,4,3,1,9,5,4,4,4,4
Chris Chelios,AUT,D,24,6,5,4,5,5,4,4,0,9,5,5,4,4,5
Richard Matvichuk,AUT,D,26,7,4,4,4,4,3,4,0,9,3,4,4,3,4
Tom Poti,AUT,D,5,9,4,4,4,4,3,3,1,7,4,4,3,3,3
Mark Parrish,BAY,F,21,6,4,4,4,3,3,3,0,7,5,3,3,3,3
Greg Johnson,BAY,F,23,6,5,5,4,3,3,3,1,7,4,3,3,3,3
Donald Audette,BAY,F,10,5,5,5,4,3,4,3,0,7,4,3,3,3,4
German Titov,BAY,F,11,6,5,5,5,4,3,3,1,9,4,4,3,4,3
Kirk Muller,BAY,F,9,8,4,4,3,3,4,4,1,7,4,4,4,3,4
Dino Ciccarelli,BAY,F,22,5,4,4,5,3,3,3,0,7,5,3,4,3,5
Dan McGillis,BAY,D,3,10,4,4,3,4,4,4,1,7,4,4,4,3,4
Philippe Boucher,BAY,D,43,9,4,4,4,3,3,3,0,7,4,3,4,3,4
Jason Doig,BAY,D,55,9,4,4,3,4,4,4,1,5,4,5,4,4,4
Marcus Ragnarsson,BAY,D,27,10,4,4,4,3,3,3,1,8,4,4,3,3,4
Mark Messier,BRT,F,11,8,5,5,5,3,3,4,0,11,5,5,4,4,4
Mats Sundin,BRT,F,13,10,5,5,5,4,4,4,1,11,5,4,4,4,4
Dainius Zubrus,BRT,F,28,9,4,5,4,3,3,3,1,10,4,3,4,3,3
Patrick Marleau,BRT,F,14,7,5,5,5,3,3,3,1,9,4,4,3,4,3
Michael Peca,BRT,F,27,5,4,3,5,5,3,4,0,5,4,4,4,4,4
Ryan Smyth,BRT,F,94,6,4,4,4,3,4,3,0,7,4,4,4,3,4
Scott Stevens,BRT,D,4,9,4,4,4,5,4,4,1,7,4,4,5,4,4
Scott Niedermayer,BRT,D,27,8,5,5,5,4,4,3,1,9,4,4,3,4,3
Aaron Ward,BRT,D,3,10,4,4,3,3,3,3,0,7,4,3,4,3,4
Jason Woolley,BRT,D,5,6,4,4,4,3,4,3,1,7,4,4,3,4,4
Michael Nylander,CDA,F,9,6,4,5,4,3,4,2,1,7,4,4,3,4,3
Brian Holzinger,CDA,F,19,6,5,5,4,3,3,3,0,7,4,4,3,4,3
Darcy Tucker,CDA,F,16,5,5,5,4,3,3,4,1,9,4,4,5,4,5
Benoit Hogue,CDA,F,33,6,5,5,4,3,3,3,1,7,4,3,3,3,4
Jere Lehtinen,CDA,F,26,6,4,4,5,4,4,4,0,10,4,4,3,4,3
Joe Thornton,CDA,F,6,7,4,4,4,3,3,4,1,12,4,4,4,3,4
Nicklas Lidstrom,CDA,D,5,6,5,5,5,4,4,3,1,9,5,4,3,4,3
Darryl Sydor,CDA,D,8,6,4,3,3,4,4,3,1,9,5,4,4,4,4
Curtis Leschyshyn,CDA,D,7,8,4,4,3,4,3,4,1,7,4,4,4,3,4
Petr Svoboda,CDA,D,23,6,5,3,4,3,3,3,1,7,4,3,4,3,4
Teemu Selanne,CRC,F,8,7,5,6,6,4,4,3,0,12,6,4,3,4,3
Cliff Ronning,CRC,F,7,4,4,5,5,3,3,2,1,11,4,5,3,4,4
Steve Rucchin,CRC,F,20,9,4,4,5,4,3,4,1,7,4,4,4,4,3
Jay Pandolfo,CRC,F,91,6,4,4,4,3,3,4,1,8,4,3,4,3,3
Alexander Mogilny,CRC,F,89,6,5,6,5,3,5,2,1,13,5,6,3,4,4
Andreas Johansson,CRC,F,21,8,5,5,4,3,3,3,1,7,4,3,3,3,3
Chris Pronger,CRC,D,44,8,4,4,5,5,4,4,1,9,5,5,5,4,5
Alexei Gusarov,CRC,D,5,6,4,4,4,4,3,3,1,7,4,3,3,3,3
Joel Bouchard,CRC,D,42,7,4,4,4,3,3,3,1,7,4,3,4,3,4
Boris Mironov,CRC,D,3,10,4,5,4,4,4,4,0,7,5,4,4,4,5
Dmitri Nabokov,HAM,F,37,8,4,4,4,4,4,4,1,5,4,4,4,4,3
