Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Ron Tugnutt,ALB,G,1,2,3,4,3,5,3,0,1,0,0,5,4,4,4
Wade Flaherty,ALB,G,31,4,3,3,3,2,2,0,0,0,0,2,2,3,2
Corey Hirsch,ANA,G,31,3,4,3,3,3,3,0,0,0,0,4,4,4,4
Fred Brathwaite,ANA,G,31,5,3,3,2,4,4,0,1,0,0,3,4,3,3
Guy Hebert,AUT,G,31,6,4,3,3,4,4,0,0,0,0,3,3,4,3
Blaine Lacher,AUT,G,31,8,3,2,3,2,2,0,0,0,0,5,4,5,4
Jeff Hackett,BRT,G,31,5,5,4,3,4,3,0,0,0,0,4,4,5,5
Olaf Kolzig,BRT,G,37,8,3,2,2,2,3,0,0,0,0,2,2,2,3
Nikolai Khabibulin,CHA,G,35,5,5,3,2,3,3,0,0,0,0,3,3,4,5
Andrei Trefilov,CHA,G,30,5,3,3,2,3,3,0,0,0,0,3,3,3,3
Mike Richter,CHC,G,35,7,6,4,3,4,3,0,0,0,0,5,6,5,6
Mark Fitzpatrik,CHC,G,30,7,3,3,2,3,4,0,0,0,0,4,4,4,4
Ron Hextall,DIN,G,27,7,3,4,5,5,4,0,0,0,0,3,3,3,4
Jamie McLennan,DIN,G,29,7,3,3,1,2,2,0,1,0,0,3,3,2,2
Felix Potvin,GRH,G,29,6,5,3,3,4,4,0,0,0,0,5,5,5,5
Craig Billington,GRH,G,1,4,3,3,2,3,3,0,0,0,3,3,2,3,3
Kirk McLean,HFX,G,1,6,4,4,4,3,4,0,0,0,0,4,4,5,4
Joaquin Gage,HFX,G,1,5,3,2,2,2,2,0,0,0,0,3,2,2,2
Chris Terreri,HIG,G,30,2,4,4,4,3,3,0,0,0,0,3,3,4,4
Tommy Soderstrom,HIG,G,30,3,3,3,3,3,2,0,0,0,0,3,3,3,3
Dominik Hasek,ITA,G,39,4,6,4,3,6,4,0,0,0,0,6,6,6,6
Damian Rhodes,ITA,G,1,5,3,3,3,3,4,0,0,0,0,4,3,4,3
Kay Whitmore,MHT,G,35,5,3,3,4,4,4,0,1,0,0,4,4,3,3
Kelly Hrudey,MHT,G,32,6,4,3,3,3,3,0,0,0,0,3,3,3,3
Mike Vernon,MGG,G,29,4,4,4,4,4,4,0,0,0,0,4,4,5,4
Robb Stauber,MGG,G,35,6,1,3,3,4,3,0,1,0,0,5,4,4,4
Martin Brodeur,NBK,G,30,7,5,4,6,6,5,0,0,0,0,5,5,6,6
Jason Muzzatti,NBK,G,29,7,3,3,3,3,3,0,0,0,0,3,3,3,3
Curtis Joseph,ORL,G,31,6,5,3,4,5,4,0,0,0,0,4,4,4,5
Ken Wregget,ORL,G,31,8,4,4,4,4,3,0,0,0,0,4,4,3,3
Jim Carey,PIT,G,30,6,6,4,3,5,5,0,0,0,0,5,5,6,6
Dominic Roussel,PIT,G,37,6,3,3,3,2,3,0,0,0,0,3,3,3,3
Tom Barrasso,PRO,G,35,10,3,4,5,5,4,0,1,0,0,4,4,4,4
Arturs Irbe,PRO,G,32,5,3,3,3,3,2,0,0,0,0,3,3,3,2
Ed Belfour,REN,G,30,6,6,4,4,6,5,0,0,0,0,5,5,6,5
Byron Dafoe,REN,G,31,5,3,2,3,3,3,0,0,0,0,3,2,3,3
Trevor Kidd,RIC,G,37,3,4,4,3,3,3,0,0,0,0,4,4,4,4
Jon Casey,RIC,G,30,3,2,2,2,3,3,0,0,0,0,3,3,3,3
Chris Osgood,SAG,G,30,3,4,4,3,4,4,0,0,0,0,5,5,4,4
Eric Fichaud,SAG,G,1,3,4,3,2,3,2,0,0,0,0,3,3,3,3
Darren Puppa,SUD,G,93,9,4,3,3,4,3,0,1,0,0,4,4,5,4
Jeff Reese,SUD,G,35,4,3,3,3,2,3,0,0,0,0,4,3,4,3
Bill Ranford,SV,G,30,4,5,4,4,4,4,0,0,0,0,4,4,5,5
Stephane Fiset,SV,G,35,5,4,3,3,3,4,0,0,0,0,3,3,4,3
Patrick Roy,SUM,G,33,6,6,4,4,5,5,0,0,0,0,6,5,6,6
Andy Moog,SUM,G,35,4,3,3,3,2,4,0,0,0,0,3,3,4,4
John Vanbiesbrouck,SUN,G,34,5,4,3,4,5,4,0,0,0,0,4,4,5,5
Don Beaupre,SUN,G,33,4,3,3,3,3,3,0,0,0,0,3,3,3,3
Darcy Wakaluk,SHC,G,34,6,3,3,2,3,3,0,0,0,0,3,3,3,3
Bob Essensa,SHC,G,35,3,3,4,4,3,3,0,0,0,0,3,3,3,3
Glenn Healy,TAI,G,30,5,3,2,4,4,3,0,0,0,0,3,3,4,4
Rick Tabaracci,TAI,G,31,6,3,3,3,1,3,0,0,0,0,2,2,3,3
Sean Burke,TB,G,1,10,4,3,4,3,3,0,0,0,0,4,4,5,5
Corey Schwab,TB,G,35,5,3,2,3,2,3,0,0,0,0,3,4,3,3
Garth Snow,TKO,G,30,8,3,3,2,3,3,0,0,0,0,3,3,3,3
J.C. Bergeron,TKO,G,30,7,2,2,2,2,1,0,0,0,0,2,2,2,2
Jocelyn Thibault,THT,G,41,5,5,4,3,3,4,0,0,0,0,4,4,4,5
Pat Jablonski,THT,G,39,5,3,3,2,3,3,0,1,0,0,3,2,3,3
Grant Fuhr,UGA,G,31,7,5,3,4,4,4,0,1,0,0,4,4,5,5
Mikhail Shtalenkov,UGA,G,35,6,3,3,2,3,3,0,0,0,0,2,3,3,3
